model,method,episodes,accuracy,violation,false_refusal,task_success,policy_tokens,total_tokens,coverage,irrelevant_rate,retrieved
DeepSeek-V4-Flash,No policy,300,0.6000,0.3833,0.0167,0.6000,0.00,220.45,0.0000,0.0000,0.00
DeepSeek-V4-Flash,Carried policy,300,0.4333,0.3033,0.2033,0.4333,23.56,325.01,0.2000,0.6000,0.84
DeepSeek-V4-Flash,All policy (clean),300,0.9833,0.0000,0.0167,0.9833,958.87,3673.12,1.0000,0.9762,31.23
DeepSeek-V4-Flash,MSR (clean),300,0.9833,0.0000,0.0167,0.9833,23.15,313.62,1.0000,0.0000,0.75
DeepSeek-V4-Flash,All policy (noisy),300,0.7967,0.0000,0.2033,0.7967,974.83,3735.40,1.0000,0.9768,31.83
DeepSeek-V4-Flash,MSR (noisy),300,0.7933,0.0000,0.2067,0.7933,32.92,357.99,0.9944,0.2800,1.12
DeepSeek-V4-Flash,Policy-list diagnostic,300,0.9833,0.0000,0.0167,0.9833,23.15,312.27,1.0000,0.0000,0.75
Qwen3.6-Flash,No policy,300,0.6100,0.2733,0.0233,0.6100,0.00,748.25,0.0000,0.0000,0.00
Qwen3.6-Flash,Carried policy,300,0.4633,0.2500,0.2033,0.4633,23.56,907.19,0.2000,0.6000,0.84
Qwen3.6-Flash,All policy (clean),300,0.9833,0.0000,0.0167,0.9833,958.87,4434.90,1.0000,0.9762,31.23
Qwen3.6-Flash,MSR (clean),300,0.9800,0.0000,0.0200,0.9800,23.15,691.91,1.0000,0.0000,0.75
Qwen3.6-Flash,All policy (noisy),300,0.7900,0.0000,0.2100,0.7900,974.83,4545.32,1.0000,0.9768,31.83
Qwen3.6-Flash,MSR (noisy),300,0.7833,0.0033,0.2100,0.7833,32.92,824.73,0.9944,0.2800,1.12
Qwen3.6-Flash,Policy-list diagnostic,300,0.9800,0.0000,0.0167,0.9800,23.15,682.48,1.0000,0.0000,0.75
Kimi-K2.6,No policy,300,0.8000,0.1467,0.0233,0.8000,0.00,247.18,0.0000,0.0000,0.00
Kimi-K2.6,Carried policy,300,0.5400,0.1833,0.2033,0.5400,23.56,343.82,0.2000,0.6000,0.84
Kimi-K2.6,All policy (clean),300,0.9833,0.0000,0.0167,0.9833,958.87,3466.02,1.0000,0.9762,31.23
Kimi-K2.6,MSR (clean),300,0.9800,0.0000,0.0200,0.9800,23.15,325.61,1.0000,0.0000,0.75
Kimi-K2.6,All policy (noisy),300,0.7900,0.0000,0.2100,0.7900,974.83,3532.76,1.0000,0.9768,31.83
Kimi-K2.6,MSR (noisy),300,0.7933,0.0000,0.2067,0.7933,32.92,375.16,0.9944,0.2800,1.12
Kimi-K2.6,Policy-list diagnostic,300,0.9733,0.0000,0.0267,0.9733,23.15,325.04,1.0000,0.0000,0.75
GPT-5.4-mini (gateway-advertised),No policy,300,0.6633,0.1733,0.0367,0.6633,0.00,331.88,0.0000,0.0000,0.00
GPT-5.4-mini (gateway-advertised),Carried policy,300,0.4733,0.2133,0.2100,0.4733,23.56,415.20,0.2000,0.6000,0.84
GPT-5.4-mini (gateway-advertised),All policy (clean),300,0.9800,0.0000,0.0167,0.9800,958.87,3501.24,1.0000,0.9762,31.23
GPT-5.4-mini (gateway-advertised),MSR (clean),300,0.9567,0.0000,0.0433,0.9567,23.15,382.18,1.0000,0.0000,0.75
GPT-5.4-mini (gateway-advertised),All policy (noisy),300,0.7867,0.0000,0.2100,0.7867,974.83,3568.26,1.0000,0.9768,31.83
GPT-5.4-mini (gateway-advertised),MSR (noisy),300,0.7900,0.0000,0.2100,0.7900,32.92,421.04,0.9944,0.2800,1.12
GPT-5.4-mini (gateway-advertised),Policy-list diagnostic,300,0.9667,0.0000,0.0300,0.9667,23.15,382.15,1.0000,0.0000,0.75
